name,title,website
Pablo Parrilo,Joseph F. & Nancy P. Keithley Professor ,http://lids.mit.edu/people/faculty/parrilo-pablo.html
"Paul Penfield, Jr.","Professor of Electrical Engineering, Emeritus",http://www-mtl.mit.edu/~penfield/
David Perreault,Professor of Electrical Engineering,http://www.rle.mit.edu/perreault
Yury Polyanskiy,Associate Professor of Electrical Engineering and Computer Science,http://people.lids.mit.edu/yp/homepage/
Rajeev Ram,Professor of Electrical Engineering,http://www.rle.mit.edu/ram
L. Rafael Reif,MIT President; Professor of Electrical Engineering  ,http://president.mit.edu/
Martin Rinard,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/724
Ronald Rivest,Institute Professor,http://www.csail.mit.edu/user/1294
Ronitt Rubinfeld,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/896
Jennifer L.M. Rupp,Thomas Lord Assistant Professor of MSE; joint appointment in EECS,https://dmse.mit.edu/faculty/profile/jrupp
Daniela Rus,"Andrew (1956) and Erna Viterbi Professor; Director, Computer Systems & Artificial Intelligence Laboratory (CSAIL); ",http://www.csail.mit.edu/user/876
Daniel Sanchez,TIBCO Founders Professor,http://www.csail.mit.edu/user/2990
Arvind Satyanarayan ,Assistant Professor of EECS ,http://arvindsatya.com/
Joel Schindall,Bernard M. Gordon Professor of the Practice;Co-Director; Gordon MIT Engineering Leadership Program,https://gelp.mit.edu/about-gel/program-staff/joel-schindall
Martin A. Schmidt,MIT Provost; Ray and Maria Stata Professor of Electrical Engineering and Computer Science,http://web.mit.edu/maschmid/index.html
Devavrat Shah,Professor of Electrical Engineering and Computer Science,http://lids.mit.edu/people/faculty/shah-devavrat.html
Jeffrey Shapiro,Julius A. Stratton Professor of Electrical Engineering and Physics,http://www.rle.mit.edu/shapiro
Nir Shavit,Professor of Electrical Engineering and Computer Science,http://www.cs.tau.ac.il/~shanir/
Max Shulaker,Emmanuel E. Landsman (1958) Career Development Assistant Professor of Electrical Engineering and Computer Science,http://bit.ly/2c5eoDv
Julian Shun,Assistant Professor of Electrical Engineering and Computer Science,https://people.csail.mit.edu/jshun/
Henry Smith,Professor of Electrical Engineering,http://www.rle.mit.edu/smith
Charles Sodini,"Clarence J. LeBel Professor of Electrical Engineering; Founder & Co-Director, Medical Electronic Device Realization Center (MEDRC)",http://www-mtl.mit.edu/researchgroups/sodini/
Armando Solar-Lezama,Assistant Professor,http://www.csail.mit.edu/user/1792
Justin Solomon,X-Window Consortium Career Development Assistant Professor of Electrical Engineering and Computer Science,http://people.csail.mit.edu/jsolomon/
David Sontag,"Assistant Professor of Electrical Engineering and Computer Science; Hermann L. F. von Helmholtz Career Development Professor, Institute for Medical Engineering and Science (IMES)",http://people.csail.mit.edu/dsontag/
Suvrit Sra,"Assistant Professor of EECSCore Faculty, IDSS",http://www.mit.edu/~suvrit
Michael Stonebraker,Adjunct Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/1547
Collin Stultz,Professor in Biomedical Engineering,http://www.rle.mit.edu/stultz
Gerald Sussman,Panasonic Professor ,http://www.csail.mit.edu/user/1512
Vivienne Sze,Associate Professor of Electrical Engineering and Computer Science,http://www.rle.mit.edu/people/directory/vivienne-sze/
Peter Szolovits,Professor of Computer Science and Engineering; Professor of Health Sciences and Technology,http://www.csail.mit.edu/user/1513
Russell Tedrake,Toyota Professor,http://www.csail.mit.edu/user/833
Christopher Terman,Senior Lecturer Emeritus ,http://www.csail.mit.edu/user/660
Bruce Tidor,Professor of Electrical Engineering and Computer Science; Professor of Biological Engineering,http://www.csail.mit.edu/user/801
Antonio Torralba,"Professor, EECS; Director, MIT Quest for Intelligence",http://www.csail.mit.edu/user/793
John Tsitsiklis,"Clarence J. Lebel Professor; Director, Laboratory for Information and Decision Systems (LIDS); Clarence Joseph LeBel Professor of Electrical Engineering and Computer Science",http://lids.mit.edu/people/faculty/tsitsiklis-john.html
Caroline Uhler,"Associate Professor of EECS; Henry L. & Grace Doherty Assistant Professor, Ocean Utilization",http://bit.ly/1md4RMZ
Vinod Vaikuntanathan,Steven and Renee Finn Career Development Professor,http://people.csail.mit.edu/vinodv/
George Verghese,Henry Ellis Warren (1894) Professor; Professor of Electrical and Biomedical Engineering; MacVicar Faculty Fellow,http://www.rle.mit.edu/verghese
Joel Voldman,EECS Associate Department Head; Professor of Electrical Engineering,http://www.rle.mit.edu/voldman
Stephen Ward,Professor of Computer Science and Engineering,http://www.csail.mit.edu/user/1517
Cardinal Warde,"Professor of Electrical EngineeringFaculty Director, Office of Engineering Outreach Programs",https://oeop.mit.edu/oeop-staff
Michael Watts, KDD Career Development Professor in Communications and Technology,http://www.rle.mit.edu/watts
Ron Weiss,Associate Professor of Electrical Engineering and Bioengineering,http://people.csail.mit.edu/rweiss/
Jacob White,Cecil H. Green Professor of Electrical Engineering,http://www.rle.mit.edu/white
Virginia Williams,Steven G. (1968) and Renee Finn Career Development Associate Professor of Electrical Engineering and Computer Science,http://www.csail.mit.edu/user/5000
Ryan Williams,Associate Professor of Electrical Engineering and Computer Science,http://people.csail.mit.edu/rrw/
Alan Willsky,"Edwin Sibley Webster Professor of EECS, Retired",http://lids.mit.edu/people/faculty/willsky-alan.html
Patrick Winston,Ford Professor of Engineering,http://www.csail.mit.edu/user/804
Gregory Wornell,Sumitomo Professor of Engineering,http://www.rle.mit.edu/sia
Markus Zahn,"Professor of Electrical Engineering, Emeritus ",http://www.rle.mit.edu/cehv/biography.htm
Nickolai Zeldovich,Professor,http://people.csail.mit.edu/nickolai/
Lizhong Zheng,Professor of Electrical Engineering,http://www.rle.mit.edu/zheng
Victor Zue,Delta Electronics Professor of Electrical Engineering and Computer Science,http://www.csail.mit.edu/user/1522
